pdf,field,predicted_normalized,gold_normalized,false_positives,false_negatives
Bechor 2014.pdf,Sample type,"[""referred""]","[""other""]",1,1
Bechor 2014.pdf,Comorbid diagnosis / problems,"[""y, adhd""]","[""y, 1 participant has adhd unclear which one""]",1,1
Bechor 2014.pdf,Treatment protocol,"[""12-14-week cbt protocol similar to silverman et al. 2009"", ""tau-nimh abmt initiative dot-probe protocol""]",[],2,0
Bechor 2014.pdf,Type of SCED design,"[""open case series (pre-post within-subject design)""]","[""one-phase design""]",1,1
Bechor 2014.pdf,Quality rating RoBiNT scale,[],"[""9, 2, 7""]",0,1
Bowyer 2014.pdf,Diagnosis screening or diagnostic interview?,"[""diagnostic interview""]","[""screening""]",1,1
Bowyer 2014.pdf,Comorbid diagnosis / problems,"[""depression; self-harm""]","[""not reported""]",1,1
Bowyer 2014.pdf,Type of treatments,"[""cognitive behavioral therapy"", ""compassion focused therapy"", ""compassionate mind training""]","[""cognitive behavioral therapy"", ""compassion focused therapy""]",1,0
Bowyer 2014.pdf,Treatment protocol,"[""cft based on gilbert (2010) and lee (2012)"", ""tf-cbt based on ehlers et al. (2005) and smith et al. (2007)""]",[],2,0
Bowyer 2014.pdf,Treatment length,"[""20 sessions over 8 months""]","[""not reported""]",1,1
Bowyer 2014.pdf,Number of sessions,"[""20""]","[""18""]",1,1
Bowyer 2014.pdf,Type of SCED design,"[""single-case pre-post case study""]","[""one-phase design""]",1,1
Bowyer 2014.pdf,Total Number of Observations,[],"[""3""]",0,1
Bowyer 2014.pdf,Quality rating RoBiNT scale,[],"[""9, 0, 9""]",0,1
Carlson 1999.pdf,Setting,"[""university clinic""]","[""school""]",1,1
Carlson 1999.pdf,Diagnosis screening or diagnostic interview?,"[""diagnostic interview""]","[""screening""]",1,1
Carlson 1999.pdf,Comorbid diagnosis / problems,"[""encopresis"", ""enuresis, learning problems""]","[""not reported""]",2,1
Carlson 1999.pdf,Type of treatments,"[""sertraline vs placebo""]","[""sertraline""]",1,1
Carlson 1999.pdf,Treatment protocol,"[""double-blind placebo-controlled sertraline trial with fixed titration from 50 mg to 100 mg within multiple-baseline across participants design""]",[],1,0
Carlson 1999.pdf,Treatment length,"[""16-week study plus 4- and 20-week follow-up""]","[""10"", ""11"", ""12"", ""9""]",1,4
Carlson 1999.pdf,Number of sessions,"[""biweekly outpatient visits over 16 weeks""]","[""10"", ""11"", ""12"", ""9""]",1,4
Carlson 1999.pdf,Type of SCED design,"[""randomized nonconcurrent multiple baseline across participants with double-blind placebo-controlled phases (a1 no medication, a2 placebo, b1 50 mg sertraline, b2 100 mg sertraline)""]","[""multiple baseline design""]",1,1
Carlson 1999.pdf,Frequent assessment variable broad category,"[""internalizing/anxiety and speech behavior""]","[""anxiety symptoms""]",1,1
Carlson 1999.pdf,Frequent assessment specific symptom,"[""anxiousness"", ""mutism / frequency of speech (spontaneous and responsive)"", ""shyness""]","[""spontaneous speech""]",3,1
Carlson 1999.pdf,Total Number of Observations,"[""weekly parent gas ratings over 16 weeks per child; parent (2x/week) and teacher (5x/week) speech observations over 16 weeks; biweekly clinic analogue assessments""]","[""16"", ""17""]",1,2
Carlson 1999.pdf,Quality rating RoBiNT scale,[],"[""20, 7, 13""]",0,1
Choate 2005.pdf,Setting,"[""university clinic""]","[""outpatient psychiatric center""]",1,1
Choate 2005.pdf,Comorbid diagnosis / problems,"[""n"", ""odd"", ""panic disorder""]","[""n"", ""y, ext"", ""y, int""]",2,2
Choate 2005.pdf,Treatment protocol,"[""standard pcit procedures (cdi and pdi phases)""]","[""parent child interaction therapy""]",1,1
Choate 2005.pdf,Treatment length,"[""6"", ""7""]","[""6-7""]",2,1
Choate 2005.pdf,Number of sessions,"[""6"", ""7""]","[""6-7""]",2,1
Choate 2005.pdf,Type of SCED design,"[""multiple baseline design across families""]","[""multiple baseline design""]",1,1
Choate 2005.pdf,Frequent assessment specific symptom,"[""separation anxiety behaviors""]","[""separation anxiety incidents""]",1,1
Choate 2005.pdf,Total Number of Observations,"[""not reported""]","[""21"", ""26"", ""32""]",1,3
Choate 2005.pdf,Quality rating RoBiNT scale,[],"[""11, 2, 9""]",0,1
Ehrenreich 2009.pdf,Drop-outs,"[""0""]","[""not reported""]",1,1
Ehrenreich 2009.pdf,Gender,"[""m,f""]","[""female"", ""male""]",1,2
Ehrenreich 2009.pdf,Primary diagnosis,"[""anxiety disorder nos"", ""generalized anxiety disorder"", ""major depressive disorder"", ""social anxiety disorder""]","[""anxiety disorder not otherwise specified"", ""generalized anxiety disorder"", ""social anxiety disorder""]",2,1
Ehrenreich 2009.pdf,Comorbid diagnosis / problems,"[""adhd"", ""major depressive disorder, mild; social phobia""]","[""n"", ""y, adhd"", ""y, int""]",2,3
Ehrenreich 2009.pdf,Type of treatments,"[""unified protocol for the treatment of emotional disorders in youth""]","[""unified protocol for the treatment of emotional disorders""]",1,1
Ehrenreich 2009.pdf,Treatment protocol,"[""unified protocol adapted from adult version (barlow et al., 2003/2004) with added parent sessions and minor language modifications""]","[""unified protocol for the treatment of emotional disorders in youth""]",1,1
Ehrenreich 2009.pdf,Treatment length,"[""13 sessions over approximately 15-17 weeks (with planned 2-week breaks between some late sessions)""]","[""17""]",1,1
Ehrenreich 2009.pdf,Quality rating RoBiNT scale,[],"[""7, 1, 6""]",0,1
Eisen 1998 - Prescriptive treatment for generalized anxiety disorder in children.pdf,Study,"[""eisen & silverman 1998""]","[""eisen 1998""]",1,1
Eisen 1998 - Prescriptive treatment for generalized anxiety disorder in children.pdf,Primary diagnosis,"[""oad / gad""]","[""generalized anxiety disorder""]",1,1
Eisen 1998 - Prescriptive treatment for generalized anxiety disorder in children.pdf,Comorbid diagnosis / problems,"[""adhd"", ""odd"", ""sad"", ""soc"", ""sp""]","[""y, int"", ""y, int, adhd"", ""y, int, ext, adhd""]",5,3
