label,count
gender:F,41
gender:M,23
ethnicity:NR,22
ethnicity:caucasian,15
ethnicity:white,7
ethnicity:hispanic,5
ethnicity:african american,3
gender:2M,2
ethnicity:na,2
ethnicity:european american,2
ethnicity:new zeland europan,2
gender:?F,2
gender:?M,2
gender:4F,2
gender:4M,2
ethnicity:african-american,1
gender:8F,1
ethnicity:non-Hispanic 7,1
ethnicity:white 9,1
ethnicity:white also hispanic,1
ethnicity:latinx (50% of participants also identified as hispanic,1
ethnicity:latinx but the study does not say which ones),1
ethnicity:Not specified which participant but Pakeha,1
ethnicity:New ZealandEuropean,1
ethnicity:Maori,1
ethnicity:Samoan,1
ethnicity:Eastern European,1
ethnicity:North African and South American,1
ethnicity:euro-america,1
ethnicity:biracial (caucasian,1
ethnicity:african american),1
ethnicity:multiethnical,1
ethnicity:Irish,1
ethnicity:6 white 2 african american 1 asian,1
ethnicity:pacific,1
ethnicity:singaporean chinese,1
gender:3F,1
ethnicity:5 Caucasian,1
ethnicity:2 Hispanic,1
ethnicity:lebanese,1
ethnicity:german,1
ethnicity:Caucasian,1
ethnicity:African–American,1
ethnicity:and Hispanic,1
ethnicity:somalian,1
gender:NR,1
